[2025-06-28 18:37:22] User: testUser | Event: Event | Description: User logged in
[2025-06-28 18:37:23] User: owner | Event: Event | Description: GET_STORE_ROLE_INFO_START
[2025-06-28 18:37:23] User: owner | Event: Event | Description: GET_STORE_ROLE_INFO_SUCCESS
[2025-06-28 18:37:23] User: owner | Event: Event | Description: UPDATE_PRODUCT_DETAILS_START
[2025-06-28 18:37:23] User: owner | Event: Event | Description: UPDATE_PRODUCT_DETAILS_SUCCESS
[2025-06-28 18:37:23] User: app | Event: Event | Description: APPOINT_STORE_OWNER_START
[2025-06-28 18:37:23] User: app | Event: Event | Description: APPOINT_STORE_OWNER_SUCCESS
[2025-06-28 18:37:23] User: o | Event: Event | Description: REMOVE_PRODUCT_START
[2025-06-28 18:37:23] User: o | Event: Event | Description: REMOVE_PRODUCT_SUCCESS
[2025-06-28 18:37:23] User: owner | Event: Event | Description: REMOVE_PRODUCT_START
[2025-06-28 18:37:23] User: owner | Event: Event | Description: REMOVE_PRODUCT_SUCCESS
[2025-06-28 18:37:23] User: a | Event: Event | Description: APPOINT_STORE_OWNER_START
[2025-06-28 18:37:23] User: owner | Event: Event | Description: DEFINE_PURCHASE_POLICY_START
[2025-06-28 18:37:23] User: owner | Event: Event | Description: DEFINE_PURCHASE_POLICY_SUCCESS
[2025-06-28 18:37:23] User: o | Event: Event | Description: UPDATE_PRODUCT_DETAILS_START
[2025-06-28 18:37:23] User: o | Event: Event | Description: UPDATE_PRODUCT_DETAILS_SUCCESS
[2025-06-28 18:37:23] User: o | Event: Event | Description: UPDATE_PURCHASE_POLICY_START
[2025-06-28 18:37:23] User: alice | Event: Event | Description: Successfully canceled payment for cart
[2025-06-28 18:37:23] User: alice | Event: Event | Description: Successfully payed for cart
[2025-06-28 18:37:23] User: john | Event: Event | Description: Shipping successful
[2025-06-28 18:37:23] User: john | Event: Event | Description: Successfully canceled shipping for cart
[2025-06-28 18:37:23] User: alice | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 18:37:23] User: alice | Event: Event | Description: ADD_TO_CART_FAILED Only 1 left in stock
[2025-06-28 18:37:23] User: alice | Event: Event | Description: ADD_TO_CART
[2025-06-28 18:40:30] User: a | Event: Event | Description: LOGIN
[2025-06-28 18:40:30] User: a | Event: Event | Description: TokenService
[2025-06-28 18:40:30] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-06-28 18:40:33] User: a | Event: Event | Description: OPEN_STORE
[2025-06-28 18:40:33] User: a | Event: Event | Description: APPOINT_STORE_OWNER_START
[2025-06-28 18:40:33] User: a | Event: Event | Description: APPOINT_STORE_OWNER_SUCCESS
[2025-06-28 18:40:33] User: a | Event: Event | Description: APPOINT_STORE_MANAGER_START
[2025-06-28 18:40:33] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 18:40:33] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 18:40:33] User: a | Event: Event | Description: APPOINT_STORE_MANAGER_SUCCESS
[2025-06-28 18:40:34] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=938dcbc7-e61e-43ff-ad5c-85f4baebef3b FOUND
[2025-06-28 18:40:34] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=938dcbc7-e61e-43ff-ad5c-85f4baebef3b FOUND
[2025-06-28 18:40:34] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 18:40:34] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 18:40:42] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=938dcbc7-e61e-43ff-ad5c-85f4baebef3b FOUND
[2025-06-28 18:40:42] User: a | Event: Event | Description: ADD_PRODUCT_START
[2025-06-28 18:40:42] User: a | Event: Event | Description: ADD_PRODUCT_SUCCESS
